1 Tri 2023 ;GASTOS GENERALES;511.624.144;511.624.144;170.775.042;;;
1 Tri 2023 ;GASTOS EN PERSONAL                                                              ;402.255.114;402.255.114;112.820.162;;;
1 Tri 2023 ;BIENES Y SERVICIOS DE CONSUMO                                                   ;93.467.663;93.467.663;21.845.507;;;
1 Tri 2023 ;PRESTACIONES DE SEGURIDAD SOCIAL                                                ;440.832;440.832;10.161.211;;;
2 Tri 2023;GASTOS GENERALES;511624144;545443265;313994757;;;
2 Tri 2023;GASTOS EN PERSONAL;402255114;402054514;223491474;;;
2 Tri 2023;BIENES Y SERVICIOS DE CONSUMO;93467663;93995033;46271900;;;
2 Tri 2023;PRESTACIONES DE SEGURIDAD SOCIAL;440832;10150689;16024490;;;
3  Tri 2023;GASTOS  GENERALES;511624144;551825368;453412006;;;
3 Tri 2023;GASTOS EN PERSONAL;402255114;402165120;333440962;;;
3 Tri 2023;BIENES Y SERVICIOS DE CONSUMO;93467663;93995033;71478815;;;
3 Tri 2023;PRESTACIONES DE SEGURIDAD SOCIAL;440832;15374610;17128584;;;
4 Tri 2023;GASTOS GENERALES;511624144;601042994;602300670;;;
4 Tri 2023;GASTOS EN PERSONAL;402255114;442679377;442670070;;;
4 Tri 2023;BIENES Y SERVICIOS DE CONSUMO;93467663;101842006;101823498;;;
4 Tri 2023;PRESTACIONES DE SEGURIDAD SOCIAL;440832;17806087;17806032;;;
1 Tri 2024;GASTOS GENERALES;569606457;569606457;162391569;;;
1 tri 2024;GASTOS EN PERSONAL;446665184;446665184;120535145;;;
1 Tri 2024;BIENES Y SERVICIOS DE CONSUMO;106090195;106090195;23272996;;;
1 Tri 2024;PRESTACIONES DE SEGURIDAD SOCIAL;456261;456261;666990;;;
2 Tri 2024;GASTOS GENERALES;569.606.457;586.511.514;313.489.100;;;
2 Tri 2024;GASTOS EN PERSONAL;446.665.184;446.311.308;238.637.502;;;
2 Tri 2024 ;BIENES Y SERVICIOS DE CONSUMO;106.090.195;106.090.195;52.462.479;;;
2 Tri 2024 ;PRESTACIONES DE SEGURIDAD SOCIAL;456.261;1.023.388;1.441.448;;;
;;;;;;;
;;;;;;;
